,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1,0.0,40.73,38.65,32.29,27.98,7.13,18.67,10.5,24.86,27.11,28.81,38.72,29.27,14.46,27.73,18.44,41.85,45.05,42.59,17.98,27.18,14.18,31.21,29.33,29.19,42.74,4.56,28.5,5.5,28.65,14.18,9.18,22.37,17.06,42.07,30.46,22.25,23.14,60.21,11.23,36.73,27.78,2.56,39.11,18.66,17.78,60.21,11.28,44.37,19.79,22.51,2.56,50.39,9.69,19.53,18.68,30.39,30.26,40.78,3.46,22.27,27.18,36.87,41.76,4.78,0.52,18.36,18.56,25.4,28.56,8.55,7.39,17.41,18.07,28.53,21.05,18.86,17.06,23.8,21.86,36.66,28.44,36.44,24.91,25.03,1.57
2,40.93,0.0,95.52,60.45,69.95,35.19,60.35,49.15,24.97,59.01,42.59,68.76,43.05,27.43,58.76,29.73,57.64,100.21,1.94,29.26,29.29,46.99,16.55,45.12,42.97,65.48,38.16,10.23,47.47,12.63,46.99,29.24,64.33,58.74,1.96,72.13,64.21,25.39,117.07,31.19,91.88,69.74,38.7,94.27,60.34,53.31,117.07,47.3,68.01,24.57,59.98,38.7,66.06,40.49,23.48,30.88,87.25,71.97,95.88,40.76,16.46,59.08,70.62,1.65,37.6,41.25,69.66,60.23,67.37,19.83,50.52,35.46,38.99,41.2,42.32,19.89,66.45,58.74,41.16,27.91,70.41,62.18,66.21,70.23,27.29,41.36
3,38.66,94.98,0.0,28.98,26.94,44.49,27.01,30.65,68.97,28.03,52.13,23.88,52.58,53.96,28.81,57.57,35.85,12.04,96.84,57.86,71.44,32.62,70.7,41.88,52.51,35.45,43.09,67.99,34.97,82.9,32.62,46.54,21.99,28.42,96.31,10.14,19.08,72.8,21.7,50.72,11.52,27.64,39.92,11.78,31.07,53.41,21.7,33.47,31.91,59.29,35.72,39.92,44.38,41.32,59.02,56.29,8.98,16.93,14.01,40.82,61.77,28.1,17.47,96.01,42.14,37.83,22.58,27.16,16.21,76.15,28.77,44.75,55.01,54.46,51.85,60.55,19.1,28.42,47.12,69.64,20.18,27.55,33.02,17.9,74.69,37.85
4,31.83,59.96,29.2,0.0,7.17,28.76,20.09,27.51,39.67,5.46,18.5,12.25,18.6,47.43,5.73,30.97,6.86,41.42,60.49,31.27,56.23,29.48,64.18,15.3,18.69,14.54,36.56,49.79,28.08,61.62,29.48,34.35,9.92,27.49,60.91,38.14,11.58,56.11,19.25,44.19,39.51,6.97,33.1,41.16,29.71,38.1,28.5,30.34,17.07,52.76,32.58,33.1,15.4,34.8,52.5,49.76,36.98,44.93,43.39,34.0,43.57,5.53,45.47,60.7,31.74,31.01,28.97,20.15,14.74,45.54,25.63,28.32,48.48,49.14,18.64,54.02,16.88,27.49,24.6,52.93,48.18,42.6,50.6,15.11,58.0,29.04
5,27.55,69.41,19.59,7.2,0.0,25.53,15.81,23.22,41.36,1.86,18.92,11.6,18.93,43.14,2.64,32.66,14.06,30.61,71.27,32.96,51.94,25.19,59.89,15.71,19.02,15.62,32.27,51.48,23.79,57.33,25.19,31.12,5.63,23.21,62.6,22.55,7.29,51.82,19.71,39.91,25.82,1.47,28.81,28.32,25.42,33.81,26.57,26.05,17.25,48.47,28.29,28.81,22.6,30.51,48.21,45.47,23.55,31.5,32.58,29.71,45.25,1.93,32.03,62.39,28.51,26.72,26.85,15.86,7.83,47.23,21.34,25.09,44.19,44.85,19.05,49.73,12.59,23.21,23.06,48.64,34.75,38.31,47.59,10.82,53.71,24.76
6,7.09,38.86,44.6,30.22,26.88,0.0,17.22,16.45,22.89,25.24,16.23,37.62,16.69,15.8,24.99,12.47,29.27,51.0,39.39,12.76,28.52,15.81,32.55,16.75,16.61,37.11,7.51,28.69,11.45,29.99,15.81,7.21,21.9,23.01,39.41,36.4,24.18,24.48,45.73,12.57,42.67,26.67,5.14,45.06,24.61,20.73,52.6,17.24,39.64,21.13,28.45,5.14,37.81,8.02,20.87,21.92,36.33,36.21,46.72,4.53,22.47,25.31,42.82,39.1,2.98,7.42,24.31,17.11,27.34,26.59,14.5,1.83,20.36,21.02,15.95,22.39,21.81,23.01,7.52,24.37,42.61,34.39,42.39,27.71,26.37,7.52
7,13.36,61.42,26.47,20.05,15.74,15.99,0.0,8.05,50.16,14.87,21.19,26.48,21.19,35.15,15.49,29.84,26.91,32.87,63.28,30.13,52.66,10.02,51.9,19.88,21.28,30.49,24.28,49.18,8.26,49.34,10.02,21.25,10.13,8.04,62.76,18.27,10.0,43.82,34.59,31.91,24.54,15.53,14.63,26.93,10.25,18.64,48.02,10.88,32.13,40.48,13.12,14.63,35.45,22.52,40.22,37.48,18.2,24.06,28.59,15.52,42.96,14.94,24.59,62.45,16.85,12.54,8.78,0.43,13.16,40.62,6.17,15.81,36.2,35.68,21.32,41.74,6.47,8.04,28.31,50.85,27.31,19.78,31.14,11.02,45.72,12.0
8,9.33,48.78,30.86,27.49,23.18,16.59,7.81,0.0,48.31,22.31,31.47,33.92,31.92,22.51,22.93,36.9,34.35,37.27,50.64,37.19,27.27,2.32,39.26,31.99,31.85,37.93,11.64,36.54,5.18,36.7,2.32,20.84,17.57,5.07,50.12,22.67,17.44,31.18,52.42,19.27,28.94,22.97,12.02,31.32,2.89,10.94,52.42,3.17,39.57,27.84,5.76,12.02,42.89,9.78,27.58,20.79,22.6,28.45,32.99,12.92,30.32,22.38,28.99,49.81,14.24,10.26,10.61,7.7,20.6,40.22,1.97,17.89,15.04,15.2,31.19,29.1,13.91,5.07,26.46,23.97,28.84,20.62,28.62,18.46,33.08,9.95
9,25.0,24.9,69.33,39.84,41.46,20.08,49.34,48.9,0.0,38.4,21.99,48.15,22.44,25.09,38.16,9.82,37.03,75.73,25.43,10.11,44.82,35.44,33.54,24.51,22.37,44.87,26.61,14.73,40.86,26.99,35.44,15.68,36.48,47.74,25.39,61.13,38.76,34.49,55.15,24.87,67.4,41.25,23.05,69.79,49.34,40.37,67.18,36.87,47.4,29.06,53.18,23.05,42.29,28.94,30.01,33.3,61.06,60.93,71.45,24.32,14.18,38.47,67.55,25.18,22.75,25.32,49.04,49.23,41.92,7.84,47.02,20.35,40.0,40.66,21.71,35.42,41.37,47.74,25.72,34.39,67.34,59.11,67.11,42.29,36.39,25.42
10,26.38,68.24,20.11,5.78,1.71,24.36,14.64,22.05,38.27,0.0,17.23,12.45,17.24,41.97,1.22,29.57,12.64,31.13,70.11,29.86,50.78,24.02,58.72,14.02,17.33,16.47,31.1,48.39,22.62,56.17,24.02,29.95,4.46,22.04,59.51,23.07,6.13,50.65,20.56,38.74,26.34,1.5,27.65,28.85,24.25,32.64,27.42,24.88,18.1,47.31,27.12,27.65,21.18,29.34,47.04,44.3,24.07,32.02,33.1,28.54,42.16,0.42,32.56,59.3,27.34,25.55,23.51,14.69,9.28,44.14,20.17,23.92,43.02,43.68,17.36,48.56,11.42,22.04,22.72,47.48,35.28,37.14,45.14,9.65,52.54,23.59
