Nom,Adresse,Longitude,Latitude
Point de départ,"600 Rue des Madeleines, 77100 Mareuil-lès-Meaux",2.8756142,48.9391591
Pharmacie de Condé,"85 Rue de Condé, 77260 La Ferté-sous-Jouarre",3.1326149,48.9469637
PHARMACIE DU PARC,"4 Avenue du Parc, 77124 Villenoy",2.8642629,48.9440565
Pharmacie Lcce -Pharmacie du centre,"80 Rue du Général Leclerc, 77450 Esbly",2.8120219,48.9012388
Pharmacie de l'Hotel de Ville,"1 Pl. de l'Hôtel de ville, 77260 La Ferté-sous-Jouarre",3.1292941,48.9501465
Pharmacie Godart,"7 Rue Margueritte Perey, 77610 Fontenay-Trésigny",2.8722456,48.7100369
Pharmacie de Acy en Multien,"36 Rue de la Libération, 60620 Acy-en-Multien",2.954487,49.1023998
Pharmacie Principale,"53 Rue nationale, 60800 Crépy-en-Valois",2.887699,49.2368018
Pharmacie Dufour,"4 Pl. de la République, 60300 Baron",2.7339074,49.1721156
Pharmacie De Mouroux,"331 Av. du Général de Gaulle, 77120 Mouroux",3.0322447,48.8278167
Pharmacie Forum Santé de Rebais SELAS,"1 Rue Saint-Nicolas, 77510 Rebais",3.2319883,48.8476302
Pharmacie du Breon,"99 Rue Bertaux, 77610 Fontenay-Trésigny",2.8564738,48.711638
Pharmacie des Remparts,"6 Rue Charles de Gaulle, 60800 Crépy-en-Valois",2.8872588,49.2344076
Pharmacie ROSSET,"56 Av. de Verdun, 77470 Trilport",2.9518064,48.9576825
Pharmacie Parisot,"26 Grande Rue, 77580 Guérard",2.9553872,48.8255718
Pharmacie du Haudouin,"6 Rue de la Croix Verte, 60440 Nanteuil-le-Haudouin",2.8011493,49.1361277
La Pharmacie de Guignes,"31 Rue de Troyes, 77390 Guignes",2.8090023,48.6313708
Pharmacie Khin de St Germain sur Morin,"20 Rue de Paris, 77860 Saint-Germain-sur-Morin",2.8514287,48.8829414
Pharmacie de Beton-Bazoches,"1 Pl. de l'Église Saint-Denis, 77320 Beton-Bazoches",3.2443578,48.701901
Pharmacie Centrale Noël,"19/21 Rue Beaurepaire, 77120 Coulommiers",3.0837998,48.8135336
Grande Pharmacie Du centre,"Rue Gérard de Nerval, 77280 Othis",2.6763921,49.0806293
Pharmacie Avicenne,"33 Rue d'Esbly, 77700 Coupvray",2.7956584,48.8953187
Pharmacie de St Mard Elsie,"24 Av. de la Font du Berger, 77230 Saint-Mard",2.694435,49.0370716
Pharmacie de Chessy,"22 Bis rue du Général de Gaulle, 77700 Chessy",2.7633066,48.8786411
PHARMACIE DE JUILLY,"6 Rue de la Source, 77230 Juilly",2.7091171,49.0146048
PHARMACIE PRINCIPALE,"26 Rue de Paris, 77220 Gretz-Armainvilliers",2.7478534,48.7389872
Pharmacie de Quincy-Voisins,"22 Rue de Meaux, 77860 Quincy-Voisins",2.877773,48.9017825
Pharmacie principale de Mareuil - Elsie Santé,"30 mail Grande Haie, 77100 Mareuil lès Meaux",2.8761243,48.9361496
PHARMACIE DU MARCHÉ,"5 Pl. du Marché, 77580 Crécy-la-chapelle",2.9098428,48.8570363
Pharmacie Lepesme,"2-4 Pl. Charles de Gaulle, 77540 Rozay-en-Brie",2.9571437,48.683387
Pharmacie de la Gare,"3 Rue du Général Leclerc, 77450 Esbly",2.8120219,48.9012388
